customer_id,meter_id,reading_date,energy_consumed,location,billing_amount,meter_status,reading_type,customer_type,tariff_plan,previous_reading,reading_time,communication_status,meter_install_date,meter_make,fault_code,invoice_generated
CUST1000,MTR2000,2025-04-28,1095.64,Ormanjhi,6602.59,Tampered,Estimated,Commercial,Commercial,1051.69,15:00,Success,2019-05-30,Honeywell,FC03,Yes
CUST1001,MTR2001,2025-01-26,895.85,Namkum,4121.88,Tampered,Estimated,Industrial,Industrial,872.32,17:00,Success,2019-11-01,ABB,FC02,No
CUST1002,MTR2002,2025-03-15,580.61,Chutia,2672.15,Faulty,Manual,Industrial,Commercial,576.93,16:45,Failure,2016-05-01,ABB,None,No
CUST1003,MTR2003,2025-03-07,1202.6,Silli,6753.4,Offline,Automatic,Residential,Industrial,1177.14,16:00,Success,2015-06-09,ABB,FC05,No
CUST1004,MTR2004,2025-04-02,803.03,Ratu,4587.33,Faulty,Manual,Industrial,Commercial,794.9,19:30,Failure,2020-09-08,Honeywell,FC04,No
CUST1005,MTR2005,2025-04-25,484.7,Ranchi,2538.24,Active,Manual,Industrial,Commercial,444.86,23:00,Failure,2017-12-23,Honeywell,FC04,Yes
CUST1006,MTR2006,2024-12-15,896.11,Kanke,4972.03,Tampered,Automatic,Industrial,Domestic,894.53,22:00,Success,2015-03-19,GE,FC02,No
CUST1007,MTR2007,2025-01-09,648.79,Ormanjhi,3452.05,Tampered,Estimated,Industrial,Domestic,613.5,16:15,Failure,2020-05-13,Honeywell,FC03,No
CUST1008,MTR2008,2025-01-15,716.51,Lohardaga,3714.86,Offline,Estimated,Industrial,Industrial,684.34,22:30,Failure,2017-02-26,ABB,FC02,No
CUST1009,MTR2009,2025-01-28,1415.15,Khelari,8550.83,Faulty,Estimated,Industrial,Commercial,1399.3,11:30,Failure,2016-05-14,Honeywell,FC05,No
CUST1010,MTR2010,2025-03-13,1236.65,Ratu,6283.3,Offline,Estimated,Residential,Commercial,1190.45,20:30,Failure,2017-05-26,ABB,FC04,No
CUST1011,MTR2011,2025-04-24,1059.45,Ratu,4998.97,Faulty,Automatic,Residential,Industrial,1014.19,07:15,Success,2016-02-15,GE,FC02,No
CUST1012,MTR2012,2024-12-27,1037.73,Ratu,4680.54,Faulty,Manual,Industrial,Commercial,1013.86,06:30,Failure,2018-03-15,Siemens,None,Yes
CUST1013,MTR2013,2025-04-17,1121.1,Namkum,7092.59,Faulty,Manual,Residential,Domestic,1071.24,12:45,Success,2018-03-31,Siemens,None,No
CUST1014,MTR2014,2025-04-26,924.04,Silli,4684.07,Tampered,Automatic,Industrial,Commercial,910.4,03:30,Success,2020-02-23,Schneider,FC05,Yes
CUST1015,MTR2015,2024-12-05,1118.1,Khelari,6301.12,Faulty,Automatic,Industrial,Industrial,1073.25,13:30,Success,2019-06-30,Siemens,FC01,Yes
CUST1016,MTR2016,2025-04-03,519.22,Bundu,2343.58,Tampered,Automatic,Commercial,Commercial,471.52,09:00,Failure,2019-01-12,ABB,None,Yes
CUST1017,MTR2017,2025-03-31,494.87,Chutia,2905.95,Offline,Estimated,Residential,Industrial,449.06,09:30,Success,2017-06-16,ABB,FC03,Yes
CUST1018,MTR2018,2025-03-28,1134.22,Ramgarh,6047.31,Tampered,Estimated,Industrial,Domestic,1096.13,21:00,Failure,2020-12-03,Schneider,None,Yes
CUST1019,MTR2019,2024-12-17,1251.72,Jamshedpur,6138.83,Faulty,Automatic,Commercial,Industrial,1229.63,21:15,Failure,2016-01-08,Honeywell,FC03,Yes
CUST1020,MTR2020,2025-03-28,241.32,Muri,1306.41,Active,Estimated,Commercial,Industrial,200.97,23:00,Failure,2017-11-08,Siemens,FC05,Yes
CUST1021,MTR2021,2025-04-29,155.89,Muri,808.92,Active,Estimated,Residential,Domestic,106.58,15:00,Failure,2019-08-02,ABB,FC01,No
CUST1022,MTR2022,2025-03-07,1489.64,Chutia,8039.7,Tampered,Manual,Residential,Industrial,1441.43,17:15,Failure,2016-04-30,ABB,FC04,No
CUST1023,MTR2023,2025-04-16,234.65,Bundu,1447.71,Active,Manual,Commercial,Industrial,198.7,13:45,Success,2017-10-10,GE,FC02,Yes
CUST1024,MTR2024,2025-02-10,323.3,Tatisilwai,1475.68,Tampered,Estimated,Residential,Domestic,313,03:00,Failure,2015-07-19,ABB,FC05,Yes
CUST1025,MTR2025,2025-03-14,686.5,Lohardaga,3387.56,Active,Automatic,Industrial,Commercial,674.79,23:30,Failure,2017-08-28,Schneider,FC01,Yes
CUST1026,MTR2026,2025-03-17,485.73,Namkum,2726.61,Faulty,Estimated,Industrial,Commercial,457.94,01:30,Failure,2020-11-18,Schneider,FC05,No
CUST1027,MTR2027,2025-03-16,266.37,Chutia,1296.62,Tampered,Automatic,Residential,Commercial,223.49,04:45,Success,2019-08-18,GE,FC04,Yes
CUST1028,MTR2028,2025-03-11,402.14,Ormanjhi,2075.25,Active,Manual,Commercial,Domestic,375.36,06:00,Failure,2019-03-25,Honeywell,FC04,Yes
CUST1029,MTR2029,2024-12-20,322.84,Lohardaga,1592.9,Faulty,Manual,Commercial,Domestic,312.25,06:00,Failure,2017-09-20,Honeywell,FC05,Yes
CUST1030,MTR2030,2025-03-13,1376.93,Lohardaga,7081.87,Offline,Manual,Commercial,Industrial,1344.49,09:30,Failure,2020-10-01,GE,FC03,Yes
CUST1031,MTR2031,2025-04-01,1154.36,Silli,7305.55,Offline,Manual,Commercial,Domestic,1126.23,07:15,Success,2017-12-04,Honeywell,FC04,No
CUST1032,MTR2032,2025-02-15,271,Silli,1344.17,Faulty,Manual,Industrial,Industrial,223.83,10:30,Failure,2020-07-02,GE,FC01,No
CUST1033,MTR2033,2025-01-14,252.94,Lohardaga,1385.26,Active,Estimated,Residential,Domestic,205.68,21:00,Success,2019-08-17,ABB,FC05,Yes
CUST1034,MTR2034,2024-12-19,1075.4,Ranchi,5309.72,Tampered,Manual,Residential,Industrial,1043.51,19:45,Failure,2015-03-06,Siemens,FC04,No
CUST1035,MTR2035,2024-12-05,74.25,Pundag,413.68,Offline,Automatic,Industrial,Industrial,40.55,05:00,Success,2020-11-17,ABB,FC01,Yes
CUST1036,MTR2036,2025-05-09,813.36,Ramgarh,4094.98,Tampered,Automatic,Commercial,Commercial,790.41,07:15,Failure,2015-11-27,Siemens,None,No
CUST1037,MTR2037,2025-03-09,596.9,Chakradharpur,2753.04,Active,Estimated,Residential,Domestic,571.91,13:30,Success,2020-12-03,Siemens,FC01,Yes
CUST1038,MTR2038,2025-05-28,1336.95,Chakradharpur,6741.16,Active,Estimated,Commercial,Industrial,1308.77,01:15,Failure,2015-03-06,ABB,FC04,Yes
CUST1039,MTR2039,2025-03-13,1396.87,Khelari,6739.76,Faulty,Estimated,Commercial,Industrial,1352.04,10:45,Success,2015-11-18,Honeywell,FC05,No
